industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
Chemicals & fertilisers,Tonne,0.003601683071,16134.49023,"Coke and semi-coke of coal, of lignite or of peat; retort carbon n.e.c",Coal and Lignite,2016-01-01 00:00:00+05:30
Iron and Steel,Kwatt,0.0009051201632,10316.01855,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Non-specified Industry,kwh,0.008074913243,95789.49219,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Iron and Steel,Kwatt,0.07237096407,824841.0625,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. litre,0.02585208789,80473.50781,High speed diesel,petroleum fuels,2016-01-01 00:00:00+05:30
"Pulp, Paper and Print",Cubic meter,6.261608618e-07,1.472086549,Gas consumed,Natural gas,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,9.554902135e-06,39.10396194,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.002411579015,7284.739258,Kerosene n.e.c,petroleum fuels,2015-01-01 00:00:00+05:30
Iron and Steel,Cubic meter,0.001397857463,3286.323486,Gas consumed,Natural gas,2009-01-01 00:00:00+05:30
Transport Equipment,Tonne,4.293163875e-05,175.7001038,Petroleum coke calcined,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,Cubic meter,7.86300843e-06,18.48571205,Gas consumed,Natural gas,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.0001473499869,603.0379639,Petroleum coke calcined,petroleum fuels,2014-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0001230703347,383.0987244,High speed diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.002103157341,6546.800293,High speed diesel,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.002017218852,6279.287598,Diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0013455577,15961.81738,Electricity purchased,Forms of energy,2005-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,1.407904371e-08,0.05761926621,Petroleum coke,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.003348180328,13566.2168,Coal consumed,Coal and Lignite,2013-01-01 00:00:00+05:30
Machinery,K. litre,0.0002673686831,823.3217163,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,1.623721801e-05,50.00007248,Light petroleum oil,petroleum fuels,2013-01-01 00:00:00+05:30
Machinery,k. litres,1.757446262e-05,53.08778381,Kerosene,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,0.0002432639158,790.8530273,Fuel oils n.e.c,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,5.8449682e-06,69.33654022,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Non-specified Industry,Kg,0.01042750943,27570.83203,Liquidified petroleum gas (LPG),Petroleum fuels,2017-01-01 00:00:00+05:30
Iron and Steel,Tonne,1.44859041e-06,5.928436279,Petroleum coke,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,3.695125997e-05,151.2250671,Petroleum coke,petroleum fuels,2007-01-01 00:00:00+05:30
"Pulp, Paper and Print",k. litres,0.009185839444,27747.98242,Kerosene,petroleum fuels,2008-01-01 00:00:00+05:30
Non-Ferrous Metals,Cubic meter,4.590397396e-08,0.1079189479,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,6.00835665e-06,24.58953094,Petroleum coke,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.009662859142,39545.78516,Petroleum coke,petroleum fuels,2004-01-01 00:00:00+05:30
Iron and Steel,K.litres,3.427280944e-06,10.66858959,Gas oils,petroleum fuels,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Cubic meter,0.000487818633,1146.214722,Gas consumed,Natural gas,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,9.832001524e-05,296.9986267,Kerosene,petroleum fuels,2013-01-01 00:00:00+05:30
"Pulp, Paper and Print",K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",tonne,0.01245970279,40506.60156,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.005472683528,63010.85156,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Transport Equipment,Litre,0.0022481794,7308.850586,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,Litre,0.002614846686,8500.888672,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Transport Equipment,K. litre,0.00448628189,14584.94141,Fuel oils n.e.c,petroleum fuels,2015-01-01 00:00:00+05:30
Iron and Steel,k. litres,2.046290035e-07,0.6369781494,Diesel,petroleum fuels,2007-01-01 00:00:00+05:30
Transport Equipment,Cubic meter,1.029886169e-05,24.21233368,Gas consumed,Natural gas,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,5.411209349e-05,221.4567261,Petroleum coke,petroleum fuels,2009-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0002047363087,618.4539795,Kerosene,petroleum fuels,2004-01-01 00:00:00+05:30
Textile and Leather,tonne,0.0004622944689,1502.923218,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,3.46419029e-05,410.9431458,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,Cubic meter,0.0002022113064,475.3930664,Gas consumed,Natural gas,2009-01-01 00:00:00+05:30
Iron and Steel,kwh,0.05659821895,664819.8125,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Machinery,Cubic meter,1.923852891e-06,4.522923946,Gas consumed,All Gases,2012-01-01 00:00:00+05:30
Non-specified Industry,tonne,5.524777498e-05,223.8538971,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.05341038819,216409.1406,Coal consumed,Coal and Lignite,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,6.246993871e-05,255.6616821,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0004961354789,2010.250488,Coal consumed,Coal and Lignite,2016-01-01 00:00:00+05:30
"Pulp, Paper and Print",tonne,0.1834600864,743346.75,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Non-specified Industry,,6.01368555e-08,0.1413800567,"Gas, n.e.c",All gases,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",tonne,0.0002688542836,1089.348511,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Non-specified Industry,K.Litres,0.00198000879,6163.458496,High speed diesel,Petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,1.148320553e-05,46.2089386,Coal,Coal,2014-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.002153570997,8813.608398,Petroleum coke calcined,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0004787488724,1556.416626,Furnace oil,petroleum fuels,2005-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0007556934142,3092.716797,Petroleum coke,petroleum fuels,2013-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Kwatt,0.0007405881188,8268.520508,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kg,0.01785249263,47202.84375,Liquidified petroleum gas (LPG),Petroleum fuels,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,0.0004955481854,1611.031372,Furnace oil,petroleum fuels,2015-01-01 00:00:00+05:30
"Pulp, Paper and Print",K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2011-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,0.0002655699209,1086.859497,Petroleum coke,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,0.0005172720994,1562.541504,Kerosene,petroleum fuels,2009-01-01 00:00:00+05:30
Textile and Leather,tonne,0.0008386264089,2726.381348,Furnace oil,petroleum fuels,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.008822485805,36106.51172,Petroleum coke calcined,petroleum fuels,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,,1.644233521e-06,5.588906765,Coal tar product,Coal & Lignite Products,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,Litres,1.605028956e-05,52.17963028,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,Kwatt,0.01714836093,195446.7813,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
