industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
Machinery,K. litre,0.002717029536,8457.688477,High speed diesel,petroleum fuels,2016-01-01 00:00:00+05:30
Iron and Steel,k. litres,4.563990296e-05,137.8660278,Kerosene,petroleum fuels,2006-01-01 00:00:00+05:30
Wood and wood products,K. litre,0.003265033709,10163.54004,Diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Machinery,K.litres,0.0004294528335,1250.514038,"Fuel, aviation turbine",petroleum fuels,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.003851015121,11987.60938,High speed diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Transport Equipment,kwh,0.0,0.0,Electricity own generated,Forms of energy,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0006463538739,2645.23877,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
Machinery,tonne,0.01454947544,58951.82031,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Transport Equipment,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Transport Equipment,K.litres,0.004295178223,13370.21875,High speed diesel,petroleum fuels,2010-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K.litres,0.0003502930049,1138.80542,Fuel oils n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,0.0001697936677,552.0006714,Furnace oil,petroleum fuels,2009-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.02500200275,293681.0938,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.009917710908,32242.56055,Furnace oil,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,0.0002537194523,789.7891235,High speed diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.004463467281,14510.77051,Fuel oils n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Transport Equipment,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2012-01-01 00:00:00+05:30
Iron and Steel,K. litre,6.409064923e-08,0.1936008334,Kerosene,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,5.431495811e-05,169.0739746,High speed diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Machinery,K.litres,1.410230993e-06,4.259933472,Kerosene,petroleum fuels,2012-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.0003789101902,1550.710815,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.001511895236,6772.850098,Lignite briquettes,Coal & Lignite Products,2012-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,1.73987914e-05,40.90406799,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,2.824768444e-06,8.532875061,Kerosene n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,5.357685222e-05,219.2662201,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0001801885664,809.1008911,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2015-01-01 00:00:00+05:30
Transport Equipment,tonne,0.0008200366101,3322.638672,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Iron and Steel,kwh,0.04383096327,519949.3125,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Machinery,K.litres,0.0002572337107,800.7283936,Diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0002835453779,882.6325073,Diesel,petroleum fuels,2008-01-01 00:00:00+05:30
Non-Ferrous Metals,K.litres,7.456380263e-05,232.105484,Diesel,petroleum fuels,2011-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",tonne,0.05430424586,176543.5469,Furnace oil,petroleum fuels,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,0.002940802027,32491.45898,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Non-specified Industry,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kwatt,0.04477121671,499861.8125,Electricity purchased,Forms of energy,2010-01-01 00:00:00+05:30
Iron and Steel,k. litres,2.062920976e-05,64.21551514,Diesel,petroleum fuels,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,Cubic meter,5.886931665e-05,138.400116,Gas consumed,All gases,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,K. Watt,0.04914553241,560131.4375,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.0134778993,159882.9688,Electricity purchased,Forms of energy,2005-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,2.615886842e-05,107.0566177,Petroleum coke calcined,petroleum fuels,2013-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,4.001896961e-05,94.08347321,Gas consumed,All Gases,2012-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,0.002659969032,8035.060059,Kerosene,petroleum fuels,2006-01-01 00:00:00+05:30
"Pulp, Paper and Print",Cubic meter,4.854271515e-06,11.41225529,Gas consumed,Natural gas,2015-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.01288357843,39673.04297,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2016-01-01 00:00:00+05:30
Machinery,k. litres,2.266539559e-05,68.46614075,Kerosene,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,2.446089375e-08,0.07952257246,Fuel oils n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Textile and Leather,K.litres,0.0004791691608,1447.442627,Kerosene,petroleum fuels,2010-01-01 00:00:00+05:30
Machinery,Tonne,3.339434625e-05,135.3078003,Coal consumed,Coal and Lignite,2015-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Litre,0.00196793233,6397.764648,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Machinery,K. litre,1.097002155e-06,3.313752174,Kerosene,petroleum fuels,2013-01-01 00:00:00+05:30
Iron and Steel,tonne,0.002281949317,9246.041992,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Transport Equipment,Litre,0.002356498968,7660.997559,Furnace oil,petroleum fuels,2013-01-01 00:00:00+05:30
Iron and Steel,kwh,0.0,0.0,Electricity own generated,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,1.796957076e-05,72.80942535,Coal consumed,Coal and Lignite,2005-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2017-01-01 00:00:00+05:30
Non-specified Industry,Tonne,5.747994874e-05,258.1022949,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2017-01-01 00:00:00+05:30
Iron and Steel,tonne,0.002222211799,9094.524414,Petroleum coke calcined,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,1.812811661e-07,0.5278686285,"Fuel, aviation turbine",petroleum fuels,2004-01-01 00:00:00+05:30
Machinery,Litre,0.02977334522,96793.39844,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Transport Equipment,tonne,2.748333117e-08,0.111357443,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.005446773022,22291.21875,Petroleum coke calcined,petroleum fuels,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,,0.004842908906,57449.50781,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Machinery,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,8.746505046e-05,357.9555359,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.008950542244,36265.96484,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Machinery,,1.603865542e-06,3.770642757,"Gas, n.e.c",All gases,2008-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.0001376206201,557.6136475,Coal consumed,Coal and Lignite,2015-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.01540633665,179175.75,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,0.0001558105869,506.5415344,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.0002726889215,820.2956543,Superior kerosene,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.02242891304,91791.57031,Petroleum coke calcined,petroleum fuels,2016-01-01 00:00:00+05:30
"Pulp, Paper and Print",Cubic meter,0.001668953813,3923.663574,Gas consumed,Natural gas,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,7.787577516e-08,0.3187109232,Petroleum coke calcined,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,tonne,1.343589247e-05,54.98713303,Petroleum coke calcined,petroleum fuels,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.009363193065,38319.38672,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,0.00550063327,22511.64648,Petroleum coke,petroleum fuels,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0003787525347,1139.353394,Superior kerosene,petroleum fuels,2013-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.008632592857,16174.68848,Coke breeze,Coal & Lignite Products,2013-01-01 00:00:00+05:30
Non-specified Industry,Cubic meter,5.353323901e-08,0.1258551329,Gas consumed,Natural gas,2014-01-01 00:00:00+05:30
Iron and Steel,kwh,0.0,0.0,Electricity own generated,Forms of energy,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0003339074901,1366.53479,Petroleum coke,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,3.700539821e-07,1.151920199,High speed diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,Litres,0.002405668143,7820.847656,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,K.litres,5.536490062e-05,179.991745,Fuel oils n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Transport Equipment,Litre,0.0123881707,40274.04688,Furnace oil,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,5.519990687e-09,0.02259086445,Petroleum coke,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,4.325385135e-07,1.306584001,Kerosene,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,K. litre,0.0004203925782,1308.616455,Gas oils,petroleum fuels,2016-01-01 00:00:00+05:30
Transport Equipment,Cubic meter,1.570115128e-05,36.91296387,Gas consumed,All Gases,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,1.70411804e-05,69.74197388,Petroleum coke calcined,petroleum fuels,2016-01-01 00:00:00+05:30
Textile and Leather,kwh,0.004020593236,47694.70313,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.008234349312,93850.19531,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
Machinery,kwh,0.008255976984,97937.375,Electricity purchased,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,2.883052375e-08,0.09372828156,Fuel oils n.e.c,petroleum fuels,2012-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.0001749473595,528.4694824,Kerosene n.e.c,petroleum fuels,2012-01-01 00:00:00+05:30
Non-Metallic Minerals,Litres,0.002210193081,7185.355957,Furnace oil,petroleum fuels,2012-01-01 00:00:00+05:30
Textile and Leather,Kwatt,0.02056169166,234349.8906,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Kwatt,0.02858046448,325743.0625,Electricity purchased,Forms of energy,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,Litres,0.001516894437,4931.437012,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
"Pulp, Paper and Print",Tonne,0.02437418513,99752.6875,Petroleum coke calcined,petroleum fuels,2013-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Tonne,4.604485326e-08,0.2067552656,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2017-01-01 00:00:00+05:30
Textile and Leather,K. litre,0.002524245298,7625.074219,Kerosene n.e.c,petroleum fuels,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.0003205574758,1263.855591,Coal,Coal,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.004636938644,52849.05469,Electricity purchased,Forms of energy,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,7.39848474e-07,2.234885693,Kerosene,petroleum fuels,2005-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",tonne,6.574233566e-06,26.63759422,Coal consumed,Coal and Lignite,2005-01-01 00:00:00+05:30
Non-specified Industry,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.002875561593,8951.174805,Diesel,petroleum fuels,2011-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K.litres,0.004038074054,12569.89453,Diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Non-specified Industry,Kwatt,0.0851920165,970967.75,Electricity purchased,Forms of energy,2017-01-01 00:00:00+05:30
Iron and Steel,kwh,0.05717840522,631735.75,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,0.0008676555008,2700.875977,High speed diesel,petroleum fuels,2016-01-01 00:00:00+05:30
Machinery,K.litres,0.001683724462,5473.802734,Fuel oils n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Machinery,Cubic meter,1.674566761e-06,4.427634716,liquified natural gas,Natural gas,2013-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,1.871373634e-08,0.05825293809,Diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,Litre,0.0254113283,82612.4375,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Iron and Steel,tonne,0.0005053394125,2047.543091,Coal consumed,Coal and Lignite,2007-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,5.433381745e-08,0.176639691,Fuel oils n.e.c,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,tonne,2.191411113e-06,8.879199028,Coal consumed,Coal and Lignite,2004-01-01 00:00:00+05:30
Machinery,tonne,0.025103027,102735.5156,Petroleum coke,petroleum fuels,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.001767656458,20146.69336,Electricity purchased,Forms of energy,2013-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.0003479353618,1423.944702,Petroleum coke,petroleum fuels,2013-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0001936467452,602.7921143,High speed diesel,petroleum fuels,2008-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.001164230285,4764.676758,Petroleum coke,petroleum fuels,2016-01-01 00:00:00+05:30
Wood and wood products,kwh,0.0,0.0,Electricity own generated,Forms of energy,2007-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.01415762599,164653.2344,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Textile and Leather,Litres,0.001532902592,4983.479004,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,Litre,3.528936986e-06,11.4726038,Furnace oil,Petroleum fuels,2016-01-01 00:00:00+05:30
Non-specified Industry,kwh,0.002815158715,33395.10938,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Cubic meter,1.054973496e-06,2.480212927,Gas consumed,Natural gas,2010-01-01 00:00:00+05:30
"Pulp, Paper and Print",k. litres,0.006426198408,19411.83789,Kerosene,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,1.646038754e-07,0.6736504436,Petroleum coke calcined,petroleum fuels,2005-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.0001713971997,694.4702148,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Non-specified Industry,K. litre,0.008130274713,25035.95898,Other light petroleum oils and light oils obtained from bituminous minerals n.e.c,petroleum fuels,2017-01-01 00:00:00+05:30
Textile and Leather,K. litre,2.681513251e-05,83.47132111,Diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,3.095204093e-08,0.1266729385,Petroleum coke,petroleum fuels,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Cubic meter,1.214105334e-05,28.54327393,Gas consumed,Natural gas,2015-01-01 00:00:00+05:30
Iron and Steel,tonne,0.004203506629,7876.012695,Coke breeze,Coal & Lignite Products,2008-01-01 00:00:00+05:30
Non-Ferrous Metals,K.litres,0.0009457587148,3074.669434,Fuel oils n.e.c,petroleum fuels,2011-01-01 00:00:00+05:30
Non-specified Industry,tonne,0.0001905381632,772.0258789,Coal consumed,Coal and Lignite,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.003831802402,12457.22266,Furnace oil,petroleum fuels,2004-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0004804517866,1946.703003,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.008780394418,104158.3359,Electricity purchased,Forms of energy,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.0008875215426,3596.075439,Coal consumed,Coal and Lignite,2014-01-01 00:00:00+05:30
Textile and Leather,k. litres,2.140265497e-05,66.62312317,High speed diesel,petroleum fuels,2004-01-01 00:00:00+05:30
Transport Equipment,k. litres,0.002264648909,7049.498535,High speed diesel,petroleum fuels,2008-01-01 00:00:00+05:30
"Pulp, Paper and Print",k. litres,0.004583174363,13844.55273,Kerosene,petroleum fuels,2005-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.01373470927,55650.53906,Coal consumed,Coal and Lignite,2011-01-01 00:00:00+05:30
Chemicals & fertilisers,Litre,0.01590350084,51702.41797,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.00238640327,9766.487305,Petroleum coke,Petroleum fuels,2011-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",tonne,0.01739183813,56541.01563,Furnace oil,petroleum fuels,2005-01-01 00:00:00+05:30
Iron and Steel,tonne,0.0001839423931,344.6485901,Coke breeze,Coal & Lignite Products,2007-01-01 00:00:00+05:30
Machinery,Kwatt,0.03926548744,447524.5938,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Iron and Steel,Tonne,5.499853614e-06,24.69599915,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,K.litres,0.006763109006,20429.55469,Kerosene,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.0002548643388,1033.410767,Coal for carbonisation,Coal,2012-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,2.073336873e-06,6.384529591,Light petroleum oil,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.0004377638397,1791.572632,Petroleum coke calcined,petroleum fuels,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2017-01-01 00:00:00+05:30
"Pulp, Paper and Print",kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Machinery,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Transport Equipment,Tonne,4.411152622e-05,180.5288544,Petroleum coke calcined,petroleum fuels,2014-01-01 00:00:00+05:30
Non-specified Industry,Kwatt,0.07830977234,892528.0,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,Cubic meter,1.31126687e-05,30.82751465,Gas consumed,Natural gas,2010-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.0006078490405,1138.912598,Coke breeze,Coal & Lignite Products,2011-01-01 00:00:00+05:30
Textile and Leather,kwh,0.0,0.0,Electricity own generated,Forms of energy,2009-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.009778157924,114857.2109,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.00136657618,4645.123047,"Other coal tar oil pitch products, n.e.c.",Coal and Lignite,2012-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Tonne,0.004190943787,16980.93945,Coal consumed,Coal and Lignite,2013-01-01 00:00:00+05:30
Wood and wood products,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,0.0006171036512,1920.947388,High speed diesel,petroleum fuels,2013-01-01 00:00:00+05:30
Machinery,Litre,0.00141399703,4596.916504,Furnace oil,Petroleum fuels,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,Kg,0.0001823996572,482.2734375,Liquidified petroleum gas (LPG),Petroleum fuels,2015-01-01 00:00:00+05:30
Manufacture of Solid Fuels,K.litres,7.722297468e-09,0.02403830737,Diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Transport Equipment,K. litre,0.0004816670262,1565.903564,Fuel oils n.e.c,petroleum fuels,2016-01-01 00:00:00+05:30
Transport Equipment,tonne,2.395237743e-06,9.802642822,Petroleum coke calcined,petroleum fuels,2004-01-01 00:00:00+05:30
Machinery,Cubic meter,2.872547871e-06,6.753279209,Gas consumed,Natural gas,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,9.456088605e-07,2.911860466,Light petroleum oil,petroleum fuels,2011-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.01569342241,64226.19141,Petroleum coke,petroleum fuels,2015-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.05733535299,232312.3906,Coal consumed,Coal and Lignite,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,2.054433571e-05,83.24189758,Coal consumed,Coal and Lignite,2016-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",tonne,0.01977117173,64276.24219,Furnace oil,petroleum fuels,2008-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.1746287512,707563.8125,Coal consumed,Coal and Lignite,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.1308513778,530185.875,Coal consumed,Coal and Lignite,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,kwh,0.007489289423,87100.46094,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
Chemicals & fertilisers,Cubic meter,5.994834362e-06,14.09368706,Gas consumed,Natural gas,2017-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,4.79524424e-05,155.8937836,Furnace oil,petroleum fuels,2007-01-01 00:00:00+05:30
Non-Ferrous Metals,K. Watt,0.005723741662,65901.46094,Electricity purchased,Forms of energy,2012-01-01 00:00:00+05:30
Non-specified Industry,K. Watt,0.07034975396,793622.8125,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0002069899347,847.1177368,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,k. litres,7.497277693e-05,226.4728394,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",k. litres,0.0006143993814,1855.937378,Kerosene,petroleum fuels,2005-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.02518022805,103051.4688,Petroleum coke,petroleum fuels,2016-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2016-01-01 00:00:00+05:30
Machinery,kwh,0.002821743486,33473.22266,Electricity purchased,Forms of energy,2004-01-01 00:00:00+05:30
Chemicals & fertilisers,,0.09561389685,387410.0625,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Machinery,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Chemicals & fertilisers,Tonne,0.003252492403,13178.50586,Coal consumed,Coal and Lignite,2017-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,1.836598858e-05,75.16381836,Petroleum coke calcined,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.003874009708,12594.4375,Furnace oil,petroleum fuels,2005-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.002335311379,6800.140625,"Fuel, aviation turbine",petroleum fuels,2009-01-01 00:00:00+05:30
Non-specified Industry,Litres,5.149224671e-05,167.4017334,Furnace oil,Petroleum fuels,2013-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,0.001052733976,12365.73242,Electricity purchased,Forms of energy,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,9.213607655e-07,2.771613598,Superior kerosene,petroleum fuels,2012-01-01 00:00:00+05:30
Machinery,Cubic meter,4.682638696e-06,11.00875187,Gas consumed,Natural gas,2015-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.003265596693,11100.07422,"Other coal tar oil pitch products, n.e.c.",Coal and Lignite,2017-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.000907625712,2741.696289,Kerosene,petroleum fuels,2008-01-01 00:00:00+05:30
Machinery,K. litre,0.0008223320474,2532.248047,"Medium petroleum oil, n.e.c.",petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2015-01-01 00:00:00+05:30
Transport Equipment,Cubic meter,1.338563978e-05,31.46926117,Gas consumed,All gases,2013-01-01 00:00:00+05:30
Textile and Leather,tonne,4.241712668e-05,173.5944214,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
Textile and Leather,Tonne,0.0004801874747,1965.193726,Petroleum coke,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.0002327278635,942.9708862,Coal consumed,Coal and Lignite,2012-01-01 00:00:00+05:30
Iron and Steel,K. litre,1.324756795e-05,41.23760986,High speed diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Chemicals & fertilisers,K. Watt,0.04802311217,541753.6875,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,0.001394795601,5651.457031,Coal consumed,Coal and Lignite,2004-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",K. litre,0.03759178519,117017.3594,Diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Textile and Leather,Litre,0.000621130981,2019.302002,Furnace oil,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,Litre,4.997878023e-07,1.624814391,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,1.575475927e-08,0.04904210567,High speed diesel,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,0.0006369484472,2070.724854,Furnace oil,petroleum fuels,2014-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,8.403400216e-07,2.587700844,"Medium petroleum oil, n.e.c.",petroleum fuels,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,3.381990155e-06,13.84098053,Petroleum coke,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,0.002037832387,23699.99609,Electricity purchased,Forms of energy,2007-01-01 00:00:00+05:30
